country,state,district,num_donors,total_amount,avg_amount
INDIA,SIKKIM,EAST DISTRICT,3,1511,503.67
INDIA,SIKKIM,SOUTH DISTRICT,3,6500,2166.67
INDIA,TAMIL NADU,ARIYALUR,2,1500,750
INDIA,TAMIL NADU,CHENNAI,640,862161,1347.13
INDIA,TAMIL NADU,COIMBATORE,90,109396,1215.51
INDIA,TAMIL NADU,CUDDALORE,10,4530,453
INDIA,TAMIL NADU,DHARMAPURI,6,1900,316.67
INDIA,TAMIL NADU,DINDIGUL,4,380,95
INDIA,TAMIL NADU,ERODE,23,18230,792.61
INDIA,TAMIL NADU,KANCHEEPURAM,55,43691,794.38
INDIA,TAMIL NADU,KANNIYAKUMARI,14,8930,637.86
INDIA,TAMIL NADU,KARUR,4,4600,1150
INDIA,TAMIL NADU,KRISHNAGIRI,11,11812,1073.82
INDIA,TAMIL NADU,MADURAI,37,33543,906.57
INDIA,TAMIL NADU,NAGAPATTINAM,1,100,100
INDIA,TAMIL NADU,NAMAKKAL,12,10512,876
INDIA,TAMIL NADU,PUDUKOTTAI,2,60,30
INDIA,TAMIL NADU,RAMANATHAPURAM,1,100,100
INDIA,TAMIL NADU,SALEM,14,14111,1007.93
INDIA,TAMIL NADU,SIVAGANGA,7,3650,521.43
INDIA,TAMIL NADU,THANJAVUR,13,11500,884.62
INDIA,TAMIL NADU,THE NILGIRIS,1,200,200
INDIA,TAMIL NADU,THENI,2,1010,505
INDIA,TAMIL NADU,THIRUVALLUR,14,10502,750.14
INDIA,TAMIL NADU,THIRUVARUR,1,300,300
INDIA,TAMIL NADU,THOOTHUKKUDI,8,5500,687.5
INDIA,TAMIL NADU,TIRUCHIRAPPALLI,33,31252,947.03
INDIA,TAMIL NADU,TIRUNELVELI,22,7195,327.05
INDIA,TAMIL NADU,TIRUPUR,14,4910,350.71
INDIA,TAMIL NADU,TIRUVANNAMALAI,1,5000,5000
INDIA,TAMIL NADU,VELLORE,20,21050,1052.5
INDIA,TAMIL NADU,VILLUPURAM,8,7360,920
INDIA,TAMIL NADU,VIRUDHUNAGAR,5,2860,572
INDIA,TRIPURA,NORTH TRIPURA,2,1500,750
INDIA,TRIPURA,SOUTH TRIPURA,1,1,1
